winner,winner_name,loser_name,p1_matches_played,p2_matches_played,p1_balanced_leverage_ratio,p2_balanced_leverage_ratio,p1_dominance_ratio_plus,p2_dominance_ratio_plus,p1_excitement_index,p2_excitement_index,p1_comeback_factor,p2_comeback_factor,p1_deuce_ace_percentage,p2_deuce_ace_percentage,p1_deuce_service_point_won_percentage,p2_deuce_service_point_won_percentage,p1_ad_ace_percentage,p2_ad_ace_percentage,p1_ad_service_point_won_percentage,p2_ad_service_point_won_percentage,p1_deuce_return_point_won_percentage,p2_deuce_return_point_won_percentage,p1_ad_return_point_won_percentage,p2_ad_return_point_won_percentage
2,Mikhail Kukushkin,Denis Istomin,346.0,314.0,1.01,1.03,1.04,1.05,53.4,52.8,2.7,2.7,8.9,4.1,65.9,61.2,7.0,3.4,64.2,62.1,35.6,38.8,36.7,38.9
1,Bernard Tomic,Nicolas Mahut,282.0,279.0,1.06,1.04,1.02,1.07,52.9,51.3,2.7,2.6,10.6,8.5,64.8,66.0,9.5,9.3,63.8,64.7,34.1,34.6,34.9,37.0
1,Lucas Pouille,Yoshihito Nishioka,294.0,240.0,1.05,1.04,1.05,1.09,52.7,51.9,2.7,2.7,7.7,1.8,64.1,60.2,8.1,2.8,62.0,61.7,36.2,40.5,37.6,41.9
2,David Goffin,Thomaz Bellucci,299.0,411.0,1.0,1.03,1.02,1.15,54.4,51.2,2.9,2.8,5.0,7.6,61.4,64.3,7.5,4.9,62.2,61.8,39.1,40.3,38.8,41.9
2,Dominic Thiem,James Duckworth,229.0,370.0,1.02,1.05,1.08,1.16,54.0,52.5,2.7,2.7,11.5,8.1,65.4,66.0,9.8,6.0,66.0,64.8,35.7,38.4,36.7,38.5
2,Denis Kudla,John Patrick Smith,132.0,355.0,0.99,1.02,0.93,1.06,56.1,53.2,2.8,2.7,5.9,6.6,62.0,63.0,8.1,5.9,62.3,61.0,35.1,39.5,35.7,39.8
1,Grigor Dimitrov,Gilles Simon,362.0,364.0,1.01,1.03,1.11,1.07,54.1,52.5,2.8,2.8,9.7,4.7,67.7,62.4,7.7,4.2,64.9,60.6,36.8,38.9,36.7,41.1
2,Viktor Troicki,Steve Johnson,329.0,288.0,1.05,1.02,1.08,1.0,52.2,51.8,2.6,2.8,11.0,10.0,66.9,63.3,8.9,7.7,65.7,61.1,34.4,36.7,34.6,38.1
1,Kei Nishikori,Mikhail Kukushkin,368.0,314.0,1.06,1.03,1.19,1.05,49.7,52.8,2.7,2.7,4.9,4.1,65.9,61.2,3.6,3.4,63.5,62.1,39.2,38.8,40.4,38.9
1,Lucas Pouille,David Goffin,294.0,411.0,1.05,1.03,1.05,1.15,52.7,51.2,2.7,2.8,7.7,7.6,64.1,64.3,8.1,4.9,62.0,61.8,36.2,40.3,37.6,41.9
